i,n_playout_training, num_playouts, win, lose, tie
50,400,1000,0,10,0
100,400,1000,2,8,0
150,400,1000,5,5,0
200,400,1000,5,5,0
250,400,1000,8,2,0
300,400,1000,7,3,0
350,400,1000,9,1,0
400,400,1000,8,2,0
450,400,1000,8,2,0
500,400,1000,9,1,0
550,400,1000,9,1,0
600,400,1000,8,2,0
650,400,1000,10,0,0
700,400,2000,8,2,0
750,400,2000,8,2,0
800,400,2000,10,0,0
850,400,3000,8,2,0
900,400,3000,9,1,0
950,400,3000,9,1,0
1000,400,3000,7,3,0
1050,400,3000,8,2,0
1100,400,3000,9,1,0
1150,400,3000,9,1,0
1200,400,3000,7,3,0
1250,400,3000,9,1,0
1300,400,3000,7,3,0
1350,400,3000,10,0,0
1400,400,4000,8,2,0
1450,400,4000,7,3,0
1500,400,4000,7,3,0
1550,400,4000,9,1,0
1600,400,4000,7,3,0
1650,400,4000,4,6,0
1700,400,4000,9,1,0
1750,400,4000,9,1,0
1800,400,4000,8,2,0
1850,400,4000,7,3,0
1900,400,4000,8,2,0
1950,400,4000,6,3,1
2000,400,4000,10,0,0
2050,400,5000,6,4,0
2100,400,5000,9,1,0
2150,400,5000,6,4,0
2200,400,5000,6,4,0
2250,400,5000,6,4,0
2300,400,5000,8,1,1
2350,400,5000,6,4,0
2400,400,5000,9,1,0
2450,400,5000,6,4,0
2500,400,5000,8,2,0
2550,400,5000,5,5,0
2600,400,5000,9,1,0
2650,400,5000,8,2,0
2700,400,5000,9,1,0
2750,400,5000,8,2,0
2800,400,5000,7,3,0
2850,400,5000,5,5,0
2900,400,5000,6,4,0
2950,400,5000,5,5,0
3000,400,5000,9,1,0
3050,400,5000,8,2,0
3100,400,5000,9,1,0
3150,400,5000,8,2,0
3200,400,5000,8,2,0
3250,400,5000,8,2,0
3300,400,5000,7,3,0
3350,400,5000,6,4,0
3400,400,5000,7,3,0
3450,400,5000,9,1,0
3500,400,5000,8,2,0
3550,400,5000,7,3,0
3600,400,5000,9,1,0
3650,400,5000,8,2,0
3700,400,5000,9,1,0
3750,400,5000,7,3,0
3800,400,5000,6,4,0
3850,400,5000,8,2,0
3900,400,5000,8,2,0
3950,400,5000,7,3,0
4000,400,5000,7,3,0
4050,400,5000,5,5,0
4100,400,5000,6,4,0
4150,400,5000,6,4,0
4200,400,5000,5,5,0
4250,400,5000,8,2,0
4300,400,5000,8,2,0
4350,400,5000,8,1,1
4400,400,5000,8,2,0
4450,400,5000,9,1,0
4500,400,5000,9,1,0
4550,400,5000,7,3,0
4600,400,5000,9,1,0
4650,400,5000,10,0,0
4700,400,6000,4,6,0
4750,400,6000,8,2,0
4800,400,6000,4,6,0
4850,400,6000,4,6,0
4900,400,6000,7,3,0
4950,400,6000,6,4,0
5000,400,6000,7,3,0
5050,400,6000,9,1,0
5100,400,6000,8,2,0
5150,400,6000,7,3,0
5200,400,6000,6,4,0
5250,400,6000,10,0,0
5300,400,7000,4,6,0
5350,400,7000,7,3,0
5400,400,7000,6,4,0
5450,400,7000,8,2,0
5500,400,7000,5,5,0
5550,400,7000,8,2,0
5600,400,7000,6,4,0
5650,400,7000,7,3,0
5700,400,7000,9,1,0
5750,400,7000,8,2,0
5800,400,7000,7,3,0
5850,400,7000,7,3,0
5900,400,7000,6,4,0
5950,400,7000,6,4,0
6000,400,7000,6,4,0
6050,400,7000,6,4,0
6100,400,7000,6,4,0
6150,400,7000,9,1,0
6200,400,7000,8,2,0
6250,400,7000,8,2,0
6300,400,7000,7,3,0
6350,400,7000,9,1,0
6400,400,7000,7,3,0
6450,400,7000,6,4,0
6500,400,7000,9,1,0
6550,400,7000,7,3,0
6600,400,7000,8,2,0
6650,400,7000,5,5,0
6700,400,7000,7,3,0
6750,400,7000,6,4,0
6800,400,7000,7,2,1
6850,400,7000,6,4,0
6900,400,7000,5,5,0
6950,400,7000,7,3,0
7000,400,7000,4,6,0
7050,400,7000,4,6,0
7100,400,7000,4,6,0
7150,400,7000,6,4,0
7200,400,7000,6,4,0
7250,400,7000,4,6,0
7300,400,7000,7,3,0
7350,400,7000,6,4,0
7400,400,7000,5,5,0
7450,400,7000,9,1,0
7500,400,7000,5,5,0
7550,400,7000,7,3,0
7600,400,7000,7,3,0
7650,400,7000,8,2,0
7700,400,7000,9,1,0
7750,400,7000,5,5,0
7800,400,7000,5,5,0
7850,400,7000,8,2,0
7900,400,7000,8,2,0
7950,400,7000,8,2,0
8000,400,7000,5,5,0
8050,400,7000,7,3,0
8100,400,7000,8,2,0
8150,400,7000,6,4,0
8200,400,7000,8,2,0
8250,400,7000,7,3,0
8300,400,7000,9,1,0
8350,400,7000,6,4,0
8400,400,7000,6,4,0
8450,400,7000,6,4,0
8500,400,7000,7,3,0
8550,400,7000,8,2,0
8600,400,7000,8,2,0
8650,400,7000,6,4,0
8700,400,7000,5,5,0
8750,400,7000,4,6,0
8800,400,7000,8,2,0
8850,400,7000,7,3,0
8900,400,7000,10,0,0
8950,400,8000,4,6,0
9000,400,8000,4,6,0
9050,400,8000,6,4,0
9100,400,8000,4,6,0
9150,400,8000,6,4,0
9200,400,8000,6,4,0
9250,400,8000,6,4,0
9300,400,8000,8,2,0
9350,400,8000,4,6,0
9400,400,8000,10,0,0
9450,400,9000,4,6,0
9500,400,9000,5,5,0
9550,400,9000,5,5,0
9600,400,9000,7,3,0
9650,400,9000,5,5,0
9700,400,9000,5,5,0
9750,400,9000,6,4,0
9800,400,9000,6,4,0
9850,400,9000,6,4,0
9900,400,9000,5,5,0
9950,400,9000,5,5,0
10000,400,9000,6,4,0
10050,400,9000,7,3,0
10100,400,9000,7,3,0
10150,400,9000,8,2,0
10200,400,9000,7,3,0
10250,400,9000,8,2,0
10300,400,9000,5,4,1
10350,400,9000,6,4,0
10400,400,9000,6,4,0
10450,400,9000,5,5,0
10500,400,9000,5,5,0
10550,400,9000,5,5,0
10600,400,9000,5,5,0
10650,400,9000,5,5,0
10700,400,9000,6,4,0
10750,400,9000,7,3,0
10800,400,9000,5,5,0
10850,400,9000,7,3,0
10900,400,9000,5,5,0
10950,400,9000,6,4,0
11000,400,9000,5,5,0
11050,400,9000,7,3,0
11100,400,9000,8,2,0
11150,400,9000,6,4,0
11200, 400, 9000, 7, 3, 0
11250, 400, 9000, 8, 2, 0
11300, 400, 9000, 4, 6, 0
11350, 400, 9000, 4, 6, 0
11400, 400, 9000, 6, 4, 0
11450, 400, 9000, 8, 2, 0
11500, 400, 9000, 5, 5, 0
11550, 400, 9000, 5, 5, 0
11600, 400, 9000, 7, 3, 0
11650, 400, 9000, 10, 0, 0
11700, 400, 10000, 6, 4, 0
11750, 400, 10000, 5, 5, 0
11800, 400, 10000, 4, 6, 0
11850, 400, 10000, 6, 4, 0
11900, 400, 10000, 6, 4, 0
11950, 400, 10000, 6, 4, 0
12000, 400, 10000, 6, 4, 0
12050, 400, 10000, 5, 5, 0
12100, 400, 10000, 7, 3, 0
12150, 400, 10000, 7, 3, 0
12200, 400, 10000, 9, 1, 0
12250, 400, 10000, 6, 4, 0
12300, 400, 10000, 4, 6, 0
12350, 400, 10000, 5, 5, 0
12400, 400, 10000, 5, 5, 0
12450, 400, 10000, 5, 5, 0
12500, 400, 10000, 7, 3, 0
12550, 400, 10000, 7, 3, 0
12600, 400, 10000, 4, 6, 0
12650, 400, 10000, 6, 4, 0
12700, 400, 10000, 8, 2, 0
12750, 400, 10000, 7, 3, 0
12800, 400, 10000, 8, 2, 0
12850, 400, 10000, 7, 3, 0
12900, 400, 10000, 3, 7, 0
12950, 400, 10000, 4, 6, 0
13000, 400, 10000, 5, 5, 0
13050, 400, 10000, 6, 4, 0
13100, 400, 10000, 4, 6, 0
13150, 400, 10000, 5, 4, 1
13200, 400, 10000, 6, 4, 0
13250, 400, 10000, 5, 5, 0
13300, 400, 10000, 8, 2, 0
13350, 400, 10000, 4, 6, 0
13400, 400, 10000, 8, 2, 0
13450, 400, 10000, 5, 5, 0
13500, 400, 10000, 8, 2, 0
13550, 400, 10000, 6, 4, 0
13600, 400, 10000, 6, 4, 0
13650, 400, 10000, 7, 3, 0
13700, 400, 10000, 6, 4, 0
13750, 400, 10000, 5, 5, 0
13800, 400, 10000, 6, 4, 0
13850, 400, 10000, 5, 4, 1
13900, 400, 10000, 6, 4, 0
13950, 400, 10000, 8, 2, 0
14000, 400, 10000, 7, 3, 0
14050, 400, 10000, 3, 7, 0
14100, 400, 10000, 5, 5, 0
14150, 400, 10000, 8, 2, 0
14200, 400, 10000, 5, 5, 0
14250, 400, 10000, 6, 4, 0
14300, 400, 10000, 5, 5, 0
14350, 400, 10000, 3, 7, 0
14400, 400, 10000, 5, 4, 1
14450, 400, 10000, 5, 5, 0
14500, 400, 10000, 6, 4, 0
14550, 400, 10000, 7, 3, 0
14600, 400, 10000, 4, 6, 0
14650, 400, 10000, 6, 4, 0
14700, 400, 10000, 8, 2, 0
14750, 400, 10000, 4, 6, 0
14800, 400, 10000, 6, 4, 0
14850, 400, 10000, 7, 3, 0
14900, 400, 10000, 5, 5, 0
14950, 400, 10000, 7, 3, 0
15000, 400, 10000, 8, 2, 0
15050, 400, 10000, 5, 5, 0
15100, 400, 10000, 5, 5, 0
15150, 400, 10000, 5, 5, 0
15200, 400, 10000, 7, 3, 0
15250, 400, 10000, 6, 4, 0
15300, 400, 10000, 6, 4, 0
15350, 400, 10000, 6, 4, 0
15400, 400, 10000, 6, 4, 0
15450, 400, 10000, 5, 5, 0
15500, 400, 10000, 3, 7, 0
15550, 400, 10000, 7, 3, 0
15600, 400, 10000, 4, 6, 0
15650, 400, 10000, 5, 5, 0
15700, 400, 10000, 5, 5, 0
15750, 400, 10000, 4, 6, 0
15800, 400, 10000, 7, 3, 0
15850, 400, 10000, 4, 6, 0
15900, 400, 10000, 6, 4, 0
15950, 400, 10000, 4, 6, 0
16000, 400, 10000, 4, 6, 0
16050, 400, 10000, 5, 5, 0
16100, 400, 10000, 8, 2, 0
16150, 400, 10000, 3, 7, 0
16200, 400, 10000, 3, 7, 0
16250, 400, 10000, 4, 6, 0
16300, 400, 10000, 4, 6, 0
16350, 400, 10000, 5, 5, 0
16450, 400, 10000, 5, 5, 0
16500, 400, 10000, 5, 5, 0
16550, 400, 10000, 5, 5, 0
16600, 400, 10000, 7, 3, 0
16650, 400, 10000, 9, 1, 0
16700, 400, 10000, 5, 4, 1
16750, 400, 10000, 7, 3, 0
16800, 400, 10000, 4, 6, 0
16850, 400, 10000, 5, 5, 0
16900, 400, 10000, 4, 6, 0
16950, 400, 10000, 4, 6, 0
17000, 400, 10000, 4, 5, 1
17050, 400, 10000, 6, 4, 0
17100, 400, 10000, 4, 6, 0
17150, 400, 10000, 7, 3, 0
17200, 400, 10000, 6, 4, 0
17250, 400, 10000, 7, 3, 0
17300, 400, 10000, 6, 4, 0
17350, 400, 10000, 6, 4, 0
17400, 400, 10000, 3, 7, 0
17450, 400, 10000, 7, 3, 0
17500, 400, 10000, 5, 5, 0
17550, 400, 10000, 5, 4, 1
17600, 400, 10000, 7, 3, 0
17650, 400, 10000, 3, 7, 0
17700, 400, 10000, 2, 8, 0
17750, 400, 10000, 4, 6, 0
17800, 400, 10000, 7, 3, 0
17850, 400, 10000, 5, 5, 0
17900, 400, 10000, 2, 8, 0
17950, 400, 10000, 6, 4, 0
18000, 400, 10000, 8, 2, 0
18050, 400, 10000, 8, 2, 0
18100, 400, 10000, 8, 2, 0
18150, 400, 10000, 7, 3, 0
